
                            Application Groups 
                                      
   
   
            Group                Description
   Alignment consensus     Alignment consensus
   Alignment differences   Alignment differences
   Alignment dot plots     Alignment dot plots
   Alignment global        Alignment global
   Alignment local         Alignment local
   Alignment multiple      Alignment multiple
   Display                 Display
   Edit                    Edit
   Enzyme kinetics         Enzyme kinetics
   Feature tables          Feature tables
   Information             Information
   Nucleic 2d structure    Nucleic 2d structure
   Nucleic codon usage     Nucleic codon usage
   Nucleic composition     Nucleic composition
   Nucleic cpg islands     Nucleic cpg islands
   Nucleic gene finding    Nucleic gene finding
   Nucleic motifs          Nucleic motifs
   Nucleic mutation        Nucleic mutation
   Nucleic primers         Nucleic primers
   Nucleic profiles        Nucleic profiles
   Nucleic repeats         Nucleic repeats
   Nucleic restriction     Nucleic restriction
   Nucleic transcription   Nucleic transcription
   Nucleic translation     Nucleic translation
   Phylogeny               Phylogeny
   Protein 2d structure    Protein 2d structure
   Protein 3d structure    Protein 3d structure
   Protein composition     Protein composition
   Protein motifs          Protein motifs
   Protein mutation        Protein mutation
   Protein profiles        Protein profiles
   Utils database creation Utils database creation
   Utils database indexing Utils database indexing
   Utils misc              Utils misc
