# Molecular weights of amino acids
# Also classified as:
#  Tiny, Small, Aliphatic, Aromatic, Non-polar, Polar, Charge, +ve, -ve
#
A 	 71.0786	 1 1 0 0 1 0 0   0 0
B 	114.5960	 0 1 0 0 0 0 -.5 0 1
C 	103.1386	 1 1 0 0 1 0 0   0 0
D 	115.0884	 0 1 0 0 0 1 -1  0 1
E 	129.1152	 0 0 0 0 0 1 -1  0 1
F 	147.1762	 0 0 0 1 1 0 0   0 0
G 	 57.0518	 1 1 0 0 1 0 0   0 0
H 	137.1408	 0 0 0 1 0 1 .5  1 0
I 	113.1590	 0 0 1 0 1 0 0   0 0
J	  0.0		 0 0 0 0 0 0 0   0 0
K	128.1736	 0 0 0 0 0 1 1   1 0
L 	113.1590	 0 0 1 0 1 0 0   0 0
# If met gets oxidised to the sulphoxide replace by 147.1926
M 	131.1926	 0 0 0 0 1 0 0   0 0
N 	114.1036	 0 1 0 0 0 1 0   0 0
O	  0.0		 0 0 0 0 0 0 0   0 0
P 	 97.1164	 0 1 0 0 1 0 0   0 0
Q	128.1304	 0 0 0 0 0 1 0   0 0
R 	156.1870	 0 0 0 0 0 1 1   1 0
S	 87.0780	 1 1 0 0 0 1 0   0 0
T	101.1048	 1 1 0 0 0 1 0   0 0
U	  0.0		 0 0 0 0 0 0 0   0 0
V	 99.1322	 0 1 1 0 1 0 0   0 0
W	186.2128	 0 0 0 1 1 0 0   0 0
X	144.0000	 0 0 0 0 0 0 0   0 0
Y	163.1756	 0 0 0 1 1 0 0   0 0
Z 	128.6228	 0 0 0 0 0 1 -.5 0 1
